feature_set,n_features,val_accuracy,val_f1_pos,val_auc
all_current,31,0.6497196719304689,0.4318932655654384,0.7132464207633735
dedup_v1,23,0.6488774635818337,0.43124097780738907,0.7124009529922514
parsimonious_top15,15,0.6479128412290366,0.4301439994927921,0.7108562882230953
dedup_v2_no_ratio_dup,20,0.6444852491124985,0.42389329270711834,0.7040464475386412
termless,21,0.6384673766678908,0.4234961584108939,0.7021857147618836
bureau_focus,18,0.6390402742073693,0.41750096797389236,0.6957287002992172
