name,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,scale_pos_weight,threshold,device,test_auc,recall_bad,precision_bad,f1_bad,term_share_pct
hard_2,1400,2,0.012,0.65,0.4,20,16.0,6.0,3.6083329453665125,0.45,cuda,0.671672017932677,0.651743146603099,0.28503709978253255,0.3966159129158568,0.5194905
hard_1,1200,2,0.015,0.7,0.45,16,12.0,4.0,3.6083329453665125,0.45,cuda,0.6720050915568853,0.6519666269368296,0.2852277634291208,0.3968418606496517,0.5360625
hard_3,1000,2,0.018,0.75,0.5,18,14.0,5.0,3.4078700039572616,0.45,cuda,0.6720143017673146,0.6169733313468415,0.2928944646314617,0.3972183088036929,0.55559593
hard_4,1100,3,0.015,0.7,0.45,18,15.0,5.0,3.4078700039572616,0.45,cuda,0.6738179021534455,0.6249255065554231,0.29326528115222594,0.39919580294792945,0.5932764
current_strong,900,3,0.02,0.8,0.6,12,8.0,2.0,3.808795886775763,0.45,cuda,0.6742338307339638,0.6912432955899881,0.2785181516665916,0.3970539467913266,0.6034867
