name,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,reg_alpha,scale_pos_weight,threshold,test_auc,recall_bad,precision_bad,f1_bad,term_share_pct
reg_strong_2,900,3,0.02,0.8,0.6,12,8.0,2.0,3.808795886775763,0.45,0.6742338307339638,0.6912432955899881,0.2785181516665916,0.3970539467913266,0.6034867
reg_strong_1,700,3,0.025,0.8,0.65,10,6.0,1.5,4.009258828185014,0.45,0.674159422020849,0.7216924910607867,0.2726383700232874,0.39576578002685964,0.60565084
reg_mid_2,600,4,0.03,0.75,0.65,9,6.0,1.2,4.009258828185014,0.45,0.6754808751725453,0.7225864123957092,0.27299143735620457,0.39627218179497,0.638153
reg_mid_1,700,4,0.025,0.8,0.7,8,5.0,1.0,4.009258828185014,0.45,0.6753897080122439,0.7224932955899881,0.273044628843704,0.39631421143227824,0.66287684
baseline_like,500,5,0.03,0.85,0.8,6,3.0,0.4,4.009258828185014,0.45,0.6758621887666258,0.7217669845053635,0.27312384160564906,0.39628824867711343,0.7187335
