weight_with_term,effective_term_share,threshold,precision,recall,f1,roc_auc,pr_auc
0.5,0.18772025406360626,0.52,0.33726905664994494,0.4106823599523242,0.37037285858246555,0.6653429452434986,0.3322269341499216
0.5,0.18772025406360626,0.5,0.32155128205128203,0.4670925208581645,0.38089235815818245,0.6653429452434986,0.3322269341499216
0.5,0.18772025406360626,0.48,0.3072393601360856,0.5247318235995232,0.3875573406325867,0.6653429452434986,0.3322269341499216
0.5,0.18772025406360626,0.45,0.2881088335131437,0.6117215435041716,0.3917235622074476,0.6653429452434986,0.3322269341499216
0.55,0.2064922794699669,0.52,0.3387454325857298,0.4126378128724672,0.372058267914865,0.6665845367215909,0.33382311737184384
0.55,0.2064922794699669,0.5,0.3233209194811866,0.46888036352800955,0.38272806044114743,0.6665845367215909,0.33382311737184384
0.55,0.2064922794699669,0.48,0.30828491076020703,0.5246573301549463,0.3883677168990688,0.6665845367215909,0.33382311737184384
0.55,0.2064922794699669,0.45,0.2893365660127838,0.6111814660309892,0.3927453761047385,0.6665845367215909,0.33382311737184384
0.6,0.2252643048763275,0.52,0.34024851926482264,0.41509609654350416,0.373963960940908,0.6676557500117107,0.3351748209805632
0.6,0.2252643048763275,0.5,0.32441966757219554,0.46927145411203813,0.3836275472531153,0.6676557500117107,0.3351748209805632
0.6,0.2252643048763275,0.48,0.3091728001757662,0.5241358760429082,0.38892804333706454,0.6676557500117107,0.3351748209805632
0.6,0.2252643048763275,0.45,0.29059290921022296,0.6102689213349225,0.39371147769460896,0.6676557500117107,0.3351748209805632
0.65,0.24403633028268815,0.52,0.3414518834833003,0.4169584326579261,0.3754464809752989,0.6685642184280958,0.3363054484077508
0.65,0.24403633028268815,0.5,0.32518085626753856,0.47046334922526817,0.38455800642401544,0.6685642184280958,0.3363054484077508
0.65,0.24403633028268815,0.48,0.3104851606357049,0.524284862932062,0.3900060263079513,0.6685642184280958,0.3363054484077508
0.65,0.24403633028268815,0.45,0.29141919489182583,0.6085741954707986,0.39411445456190075,0.6685642184280958,0.3363054484077508
0.7,0.26280835568904876,0.52,0.34199424298268327,0.41818757449344457,0.3762724644966696,0.6693173482098568,0.33722366874517573
0.7,0.26280835568904876,0.5,0.3263724073882984,0.4712269070321812,0.3856459184295556,0.6693173482098568,0.33722366874517573
0.7,0.26280835568904876,0.48,0.311637692392869,0.5241358760429082,0.39087260253045014,0.6693173482098568,0.33722366874517573
0.7,0.26280835568904876,0.45,0.29241361975636687,0.6066373659117997,0.39461394486743834,0.6693173482098568,0.33722366874517573
0.75,0.2815803810954094,0.52,0.3423783406007384,0.41967744338498214,0.3771074760490315,0.6699273048745176,0.33795757027322604
0.75,0.2815803810954094,0.5,0.3271651967304141,0.4718414779499404,0.386405057306481,0.6699273048745176,0.33795757027322604
0.75,0.2815803810954094,0.48,0.3127203175909349,0.5237261620977354,0.39160858636847856,0.6699273048745176,0.33795757027322604
0.75,0.2815803810954094,0.45,0.29340370346940436,0.6046260429082241,0.39508606684555425,0.6699273048745176,0.33795757027322604
